timestamp,method,url,statusCode,durationMs,notes
2026-05-24T02:07:10.453Z,GET,https://www.acas.org.uk/robots.txt,200,136,""
2026-05-24T02:07:12.544Z,GET,https://www.acas.org.uk/acas-code-of-practice-on-disciplinary-and-grievance-procedures/html,200,211,""
2026-05-24T02:07:14.557Z,GET,https://www.acas.org.uk/discipline-and-grievances-acas-guide,404,213,""
2026-05-24T02:07:16.516Z,GET,https://www.acas.org.uk/dismissal,404,159,""
2026-05-24T12:09:02.614Z,GET,https://www.acas.org.uk/robots.txt,200,124,""
2026-05-24T12:09:04.758Z,GET,https://www.acas.org.uk/discipline-and-grievance,200,259,""
2026-05-24T12:09:06.722Z,GET,https://www.acas.org.uk/disciplinary-procedure-step-by-step,200,208,""
2026-05-24T12:09:08.768Z,GET,https://www.acas.org.uk/grievance-procedure-step-by-step,200,243,""
2026-05-24T12:09:10.774Z,GET,https://www.acas.org.uk/investigations-for-discipline-and-grievance-step-by-step,200,234,""
2026-05-24T12:09:12.726Z,GET,https://www.acas.org.uk/suspension-during-an-investigation,200,182,""
2026-05-24T12:09:14.777Z,GET,https://www.acas.org.uk/appealing-a-disciplinary-or-grievance-outcome,200,226,""
2026-05-24T12:09:16.779Z,GET,https://www.acas.org.uk/dismissals,200,215,""
2026-05-24T12:09:18.968Z,GET,https://www.acas.org.uk/dismissals/types-of-dismissal/,200,395,""
2026-05-24T12:09:20.979Z,GET,https://www.acas.org.uk/dismissals/dismissals-with-and-without-notice/,200,400,""
2026-05-24T12:09:22.978Z,GET,https://www.acas.org.uk/dismissals/unfair-dismissal/,200,385,""
2026-05-24T12:09:24.943Z,GET,https://www.acas.org.uk/dismissals/constructive-dismissal/,200,342,""
2026-05-24T12:09:27.001Z,GET,https://www.acas.org.uk/dismissals/following-a-fair-procedure/,200,398,""
2026-05-24T12:10:49.059Z,GET,https://www.acas.org.uk/robots.txt,200,122,""
2026-05-24T12:10:51.224Z,GET,https://www.acas.org.uk/discipline-and-grievance,200,273,""
2026-05-24T12:10:53.181Z,GET,https://www.acas.org.uk/disciplinary-procedure-step-by-step,200,227,""
2026-05-24T12:10:55.218Z,GET,https://www.acas.org.uk/grievance-procedure-step-by-step,200,256,""
2026-05-24T12:10:57.202Z,GET,https://www.acas.org.uk/investigations-for-discipline-and-grievance-step-by-step,200,233,""
2026-05-24T12:10:59.179Z,GET,https://www.acas.org.uk/suspension-during-an-investigation,200,208,""
2026-05-24T12:11:01.228Z,GET,https://www.acas.org.uk/appealing-a-disciplinary-or-grievance-outcome,200,254,""
2026-05-24T12:11:03.249Z,GET,https://www.acas.org.uk/dismissals,200,274,""
2026-05-24T12:11:05.328Z,GET,https://www.acas.org.uk/dismissals/types-of-dismissal/,200,353,""
2026-05-24T12:11:07.304Z,GET,https://www.acas.org.uk/dismissals/dismissals-with-and-without-notice/,200,314,""
2026-05-24T12:11:09.343Z,GET,https://www.acas.org.uk/dismissals/unfair-dismissal/,200,349,""
2026-05-24T12:11:11.343Z,GET,https://www.acas.org.uk/dismissals/constructive-dismissal/,200,334,""
2026-05-24T12:11:13.315Z,GET,https://www.acas.org.uk/dismissals/following-a-fair-procedure/,200,305,""
